ProcessLevel	Parent_processName	ProcessID	ProcessName	Symbol
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC8A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC8A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC8A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC9A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000007	Sodium B2L by antiporter	SLC9A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC13A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC13A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC23A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC38A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000008	Sodium B2L by symporter	SLC4A11
