Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	NaBC1 (SLC4A11)	SLC4A11	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	NaCT (SLC13A5)	SLC13A5	Homo_sapiens	PMID: 24114175;UniProt
Custom_transmembrane_transport	NaDC1 (SLC13A2)	SLC13A2	Homo_sapiens	UniProt online
Custom_transmembrane_transport	NaDC3 (SLC13A3)	SLC13A3	Homo_sapiens	NCBI;PMID: 27053689
Custom_transmembrane_transport	NaS1 (SLC13A1)	SLC13A1	Homo_sapiens	UniProt online;PMID: 24193406;PMID: 21298488;PMID: 17002596
Custom_transmembrane_transport	NBCe1 (SLC4A4)	SLC4A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	NBCe2 (SLC4A5)	SLC4A5	Homo_sapiens	NCBI;PMID: 23506864
Custom_transmembrane_transport	NBCn1 (SLC4A7)	SLC4A7	Homo_sapiens	NCBI;UniProt
Custom_transmembrane_transport	NBCn2 (SLC4A10)	SLC4A10	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	NCC (SLC12A3)	SLC12A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	NCKX1 (SLC24A1)	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	NCKX2 (SLC24A2)	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	NCKX3 (SLC24A3)	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	NCKX4 (SLC24A4)	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	NCKX5 (SLC24A5)	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	NCLX (SLC8B1)	SLC8B1	Homo_sapiens	UniProt
Custom_transmembrane_transport	NCX1 (SLC8A1)	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Custom_transmembrane_transport	NCX2 (SLC8A2)	SLC8A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	NCX3 (SLC8A3)	SLC8A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	NDCBE (SLC4A8)	SLC4A8	Homo_sapiens	NCBI;UniProt
Custom_transmembrane_transport	NET (SLC6A2)	SLC6A2	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	NHA1 (SLC9B1)	SLC9B1	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	NHE1 (SLC9A1)	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Custom_transmembrane_transport	NHE11 (SLC9C2)	SLC9C2	Homo_sapiens	UniProt
Custom_transmembrane_transport	NHE2 (SLC9A2)	SLC9A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	NHE3 (SLC9A3)	SLC9A3	Homo_sapiens	UniProt online
