Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	NCKX5 (SLC24A5)	SLC24A5	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	NCLX (SLC8B1)	SLC8B1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NCX1 (SLC8A1)	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Mbco_na_glucose_tm_transport_human	NCX2 (SLC8A2)	SLC8A2	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NCX3 (SLC8A3)	SLC8A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NDCBE (SLC4A8)	SLC4A8	Homo_sapiens	NCBI;UniProt
Mbco_na_glucose_tm_transport_human	NET (SLC6A2)	SLC6A2	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Neutral amino acid vs sodium neutral amino acid antiporter	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NHA1 (SLC9B1)	SLC9B1	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	NHE1 (SLC9A1)	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Mbco_na_glucose_tm_transport_human	NHE11 (SLC9C2)	SLC9C2	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NHE2 (SLC9A2)	SLC9A2	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NHE3 (SLC9A3)	SLC9A3	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	NHE4 (SLC9A4)	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Mbco_na_glucose_tm_transport_human	NHE5 (SLC9A5)	SLC9A5	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NHE6 (SLC9A6)	SLC9A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NHE7 (SLC9A7)	SLC9A7	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	NHE8 (SLC9A8)	SLC9A8	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NHE9 (SLC9A9)	SLC9A9	Homo_sapiens	Entrez Gene online
Mbco_na_glucose_tm_transport_human	NKCC1 (SLC12A2)	SLC12A2	Homo_sapiens	Tocris Summary
Mbco_na_glucose_tm_transport_human	NKCC2 (SLC12A1)	SLC12A1	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NPT1 (SLC17A1)	SLC17A1	Homo_sapiens	PMID: 34290818;UniProt
Mbco_na_glucose_tm_transport_human	NPT2a (SLC34A1)	SLC34A1	Homo_sapiens	UniProt;PMID: 32353243
Mbco_na_glucose_tm_transport_human	NPT2b (SLC34A2)	SLC34A2	Homo_sapiens	NCBI;PMID: 32353243
Mbco_na_glucose_tm_transport_human	NPT2c (SLC34A3)	SLC34A3	Homo_sapiens	NCBI;PMID: 32353243
Mbco_na_glucose_tm_transport_human	NPT4 (SLC17A3)	SLC17A3	Homo_sapiens	PMID: 34290818;UniProt online
Mbco_na_glucose_tm_transport_human	NTCP (SLC10A1)	SLC10A1	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	NTT4 (SLC6A17)	SLC6A17	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	NTT5 (SLC6A16)	SLC6A16	Homo_sapiens	UniProt online;PMID: 24692143
Mbco_na_glucose_tm_transport_human	OCT6 (SLC22A16)	SLC22A16	Homo_sapiens	NCBI
